author,year,title,abstract,url_or_doi,entry_type
"Chew, Zheng Jun and Zhu, Meiling",2015.0,2015 IEEE SENSORS - Proceedings,"A batteryless power management circuit incorporating an energy aware interface (EAI) for wireless sensor nodes (WSNs) powered by piezoelectric energy harvester (PEH) has been proposed and implemented. Traditional power management usually requires two DC-DC converters, each for maximum power point tracking (MPPT) and voltage regulation functionalities. The proposed circuit requires only one DC-DC converter for both the MPPT and voltage regulation. The EAI also provides a means to voltage regulation. This allows the circuit to have higher efficiency as the energy transfer does not have to go through two stages to reach the load. A PEH connected to the proposed circuit was tested under various vibration conditions. The circuit was found to have end-to-end efficiency of about 66% under most of the test conditions.",https://doi.org/10.1109/ICSENS.2015.7370663,inproceedings
"Shrestha, N. M. and Alsadoon, Abeer and Prasad, P. W.C. and Hourany, L. and Elchouemi, A.",2016.0,"2016 6th International Conference on Digital Information Processing and Communications, ICDIPC 2016","Patient health record (PHR) is a rising patient centric model which is frequently outsourced to store at third party. This addresses the issue in privacy such as hiding the sensitive health data of a patient which can be assessed by unauthorized users. In this paper, a new secured e-health framework has proposed. In this framework, patient centric personal data and access control scheme with enhanced encryption method has been considered. Security and privacy of personal health information have been identified by digital signature and patient pseudo identity as well as. This paper address the enhanced security model for more authentication and authorization functionality and expects to discover the new technique that can be utilized to build the efficiency in e-health care system based on security, privacy and user satisfaction. The survey has been conducted to test the proposed e-health framework. The data has been analyzed using SPSS tool.",https://doi.org/10.1109/ICDIPC.2016.7470795,inproceedings
"Cheour, Rym and Jmal, Mohamed Wassim and Abid, Mohamed",2017.0,"2017 International Conference on Smart, Monitored and Controlled Cities, SM2C 2017","The Wireless Sensors Networks (WSN) market is in full development. Thanks to the advantages offered by these technologies, in particular, collecting data in real time and at low cost, these technologies are gaining popularity in a multitude of fields of application. However, despite the excitement surrounding the wireless sensor networks, its entry into force, is not immune to the problem of energy consumption. Thus, extending battery life and developing more economical energy sources will promote the development of WSN. We present in this paper an energy-saving design for Wireless Sensor Networks monitoring systems known as HEEPS (Hybrid Energy-Efficient Power manager Scheduling based). DVFS (Dynamic Voltage and Frequency Scaling) and DPM (Dynamic Power Management) are jointly leveraged to reduce the total energy consumption as well as a scheduling policy that exploits effectively the resources at the global level. The experiments were conducted with real network traces and hardware models.",https://doi.org/10.1109/SM2C.2017.8071836,inproceedings
"Chen, Ling and Liu, Wenwen and Gong, Daofu and Chen, Yan",2020.0,"2020 International Wireless Communications and Mobile Computing, IWCMC 2020","Wireless sensor network (WSN) is the cutting-edge technology of modern monitoring technology. There is a direct relationship between the length of its lifetime and its performance. Efficient and reasonable clustering and routing algorithm can reduce the energy loss in the network, which is of great significance for prolonging the network lifetime. The traditional WSN protocol has been difficult to meet the needs of the contemporary society. This paper focuses on the advantages and disadvantages of the traditional WSN protocol, and puts forward relevant improvement measures to optimize the traditional WSN protocol and extend the network life time.",https://doi.org/10.1109/IWCMC48107.2020.9148576,inproceedings
"Lazaroiu, Cristian and Roscia, Mariacristina",2018.0,"7th International IEEE Conference on Renewable Energy Research and Applications, ICRERA 2018","Cities of the future will be increasingly populated but still are not smart or energetically ready and cities must be planned and built only on the basis of algorithms, but should be a dynamic entity, resilient and sustainable. Africa's urban population is growing much faster than in Europe and is expected to surpass the rural population by 2050, when city will increase to 62% [1] and even today about 30% of citizens have no access to electricity or heating fuels. [2] The new global sustainable development goals has set as a target [3] universal access to affordable, reliable energy, and sustainable for 2030 [4]. In the implementation of Smart Cities, Africa must not be left behind: promote fair, resilient and sustainable energy systems, responsible energy industries and access for the poor to clean energy, efficient and affordable services, must be a priority also for the European Community. Access to green energy and electricity, is crucial for reducing poverty and driving sustainable economic development, it is necessary an innovative and long-term sustainable approach to design energy services to meet the needs of people living in energy poverty and not only. Africa will be 'the next big market' due to the rapid growth of emerging economies. Smart cities in Africa will be a challenge for the energy supply, use of renewable sources, a better quality of life, reduced energy consumption, less environmental impact. The key elements to achieve sustainability in developing countries will be the introduction of smart grids, smart metering, the Internet of Things (IoT), dissemination of information and communication technology (ICT): a new vision in which the citizen becomes a hub, being both consumer and producer of green energy, renewable energy spread widely in the area (solar, hydro, wind), through integration in smart grid. This paper aims to be a starting point for decision makers and for future research, highlighting how the Smart City, pose greater opportunity for developing countries like Africa, through new technologies already widely spread on the territory, jointly with the redistribution and efficient use of alternative energy sources.",https://doi.org/10.1109/ICRERA.2018.8566775,inproceedings
"Volger, Helmut",2021.0,A Concise Encyclopedia of the United Nations,"The emergence of the COVID-19 pandemic in 2020 created a temporary crisis of confidence in the future of cities. However, a broad consensus is that urbanization remains a powerful twenty-first century mega-trend; and that well-planned towns and cities remain central to the sustainable development trajectory. There is a sense of optimism that the crisis may provide us with the opportunity to build back differently, more inclusively, greener and safer. Envisaging the Future of Cities seeks to provide greater clarity and insights into the future of cities based on existing trends, challenges and opportunities, as well as disruptive conditions, including the valuable lessons from the COVID-19 pandemic, and suggests ways that cities can be better and transition to sustainable urban futures. The Report proposes a state of informed preparedness that provides us with the opportunity to anticipate change, correct the course of action and become more knowledgeable of the different scenarios or possibilities that the future of cities offers. prepared to address a wide range of shocks",https://doi.org/10.1163/ej.9789004180048.i-962.787,incollection
"Bansal, Maggi and Chana, Inderveer and Clarke, Siobh{\'{a",2021.0,ACM Computing Surveys,"Driven by the core technologies, i.e., sensor-based autonomous data acquisition and the cloud-based big data analysis, IoT automates the actuation of data-driven intelligent actions on the connected objects. This automation enables numerous useful real-life use-cases, such as smart transport, smart living, smart cities, and so on. However, recent industry surveys reflect that data-related challenges are responsible for slower growth of IoT in recent years. For this reason, this article presents a systematic and comprehensive survey on IoT Big Data (IoTBD) with the aim to identify the uncharted challenges for IoTBD. This article analyzes the state-of-the-art academic works in IoT and big data management across various domains and proposes a taxonomy for IoTBD management. Then, the survey explores the IoT portfolio of major cloud vendors and provides a classification of vendor services for the integration of IoT and IoTBD on their cloud platforms. After that, the survey identifies the IoTBD challenges in terms of 13 V's challenges and envisions IoTBD as ""Big Data 2.0.""Then the survey provides comprehensive analysis of recent works that address IoTBD challenges by highlighting their strengths and weaknesses to assess the recent trends and future research directions. Finally, the survey concludes with discussion on open research issues for IoTBD.",https://doi.org/10.1145/3419634,misc
"Manda, More Ickson and Backhouse, Judy",2018.0,ACM International Conference Proceeding Series,"South Africa has adopted digital transformation as one of its strategies for promoting inclusive growth. This is a case study of South Africa, a developing country that has embraced the digital transformation agenda to promote the transformation of government, business and society among other things. Using institutional theory as our theoretical lens, we explore the implementation or policy reforms aimed at promoting the digital transformation of South Africa into an inclusive digital society. This study found that challenges associated with the implementation of policy reforms aimed at promoting the transition were as a result of poor coordination, fragmentation and poor cohesion among government departments coordinating the digital transformation agenda. Inclusion and digital access also require a more integrated approach in the coordination and implementation of social and economic policy that extends beyond technology.",https://doi.org/10.1145/3209415.3209486,inproceedings
"Rhardas, Tarik and Rochdane, Hanane",2024.0,AI and Data Engineering Solutions for Effective Marketing,"In many developing countries, smart city initiatives are in their infancy. Like many other developing countries, smart projects in Morocco have been facing several challenges since their launch in 2016. The adoption of smart services requires the commitment and involvement of Moroccan citizens. This chapter focuses on a systematic literature review of the main studies dealing with factors that appear to improve end-user acceptance of services provided by Moroccan smart cities. A specific method known as PRISMA is being adopted to select and synthesize relevant studies in this field. The results obtained from the systematic review indicate that the unified theory of acceptance and use of technology (UTAUT) is the most utilized theory in the literature. Additionally, the examination of existing studies has revealed that successful implementation of smart projects requires decision-makers to consider the following factors: performance expectancy, ease of use, social influence, perceived cost, awareness, trust in technology, and trust in the government.",https://doi.org/10.4018/979-8-3693-3172-9.ch006,incollection
"Rogers, Everett M",2002.0,Addictive Behaviors,"The present paper draws on the diffusion of innovations model to derive a series of strategies for speeding up the spread and implementation of new ideas in preventing addiction. Preventive innovations usually require an action at one point in time in order to avoid an unwanted future condition. Hence, preventive innovations diffuse rather slowly, in part due to delayed rewards from adoption. Here we suggest five strategies, based on diffusion theory, for speeding up the diffusion of preventive innovations. {\textcopyright",https://doi.org/10.1016/S0306-4603(02)00300-3,inproceedings
"Pambhar, Hiral and Aghera, Kausa and Tada, Naren",2017.0,Advances in Intelligent Systems and Computing,Wireless sensor network (WSN) is all time researched area as well as new concepts are introduced frequently. Here we will consider the hierarchical clustering routing protocol called LEACH and its variant as E-LEACH (energy leach). There may be a case in E-LEACH that selected cluster heads may be accumulated in certain specific area (or not distributed) due the consideration of only residual energy. Our proposed method includes the consideration of residual energy as well as selected cluster heads to be distributed in the entire wireless network. This balance load and increase the network life time.,https://doi.org/10.1007/978-981-10-2750-5_21,inproceedings
"Kiberu, Vincent M. and Mars, Maurice and Scott, Richard E.",2017.0,African Journal of Primary Health Care and Family Medicine,"Background: Most developing countries, including Uganda, have embraced the use of e-Health and m-Health applications as a means to improve primary healthcare delivery and public health for their populace. In Uganda, the growth in the information and communications technology industry has benefited the rural communities and also created opportunities for new innovations, and their application into healthcare has reported positive results, especially in the areas of disease control and prevention through disease surveillance. However, most are mere proof-of-concepts, only demonstrated in use within a small context and lack sustainability. This study reviews the literature to understand e-Health's current implementation status within Uganda and documents the barriers and opportunities to sustainable e-Health intervention programmes in Uganda. Methods: A structured literature review of e-Health in Uganda was undertaken between May and December 2015 and was complemented with hand searching and a document review of grey literature in the form of policy documents and reports obtained online or from the Ministry of Health's Resource Centre. Results: The searches identified a total of 293 resources of which 48 articles met the inclusion criteria of being in English and describing e-Health implementation in Uganda. These were included in the study and were examined in detail. Conclusion: Uganda has trialled several e-Health and m-Health solutions to address healthcare challenges. Most were donor funded, operated in silos and lacked sustainability. Various barriers have been identified. Evidence has shown that e-Health implementations in Uganda have lacked prior planning stages that the literature notes as essential, for example strategy and need readiness assessment. Future research should address these shortcomings prior to introduction of e-Health innovations.",https://doi.org/10.4102/phcfm.v9i1.1277,misc
"Neves, Barbara Barbosa. and Vetere, Frank.",2019.0,Ageing and Digital Technology: Designing and Evaluating Emerging Technologies for Older Adults,"This book brings together Sociologists, Computer Scientists, Applied Scientists and Engineers to explore the design, implementation and evaluation of emerging technologies for older people. It offers an innovative and comprehensive overview, not only of the rapidly developing suite of current digital technologies and platforms, but also of perennial theoretical, methodological and ethical issues. As such, it offers support for researchers and professionals who are seeking to understand and/or promote technology use among older adults. The contributions presented here offer theoretical and methodological frameworks for understanding age-based digital inequalities, participation, digital design and socio-gerontechnology. They include ethical and practical reflections on the design and evaluation of emerging technologies for older people, as well as guidelines for ethical, participatory, professional and cross-disciplinary research and practice. In addition, they feature state-of-the-art, international empirical research on communication technologies, games, assistive technology and social media. As the first truly multidisciplinary book on technology use among ageing demographics, and intended for students, researchers, applied researchers, practitioners and professionals in a variety of fields, it will provide these readers with insights, guidelines and paradigms for practice that transcend specific technologies, and lay the groundwork for future research and new directions in innovation.",https://doi.org/10.1007/978-981-13-3693-5,book
"Brenner, M. Harvey and Mooney, Anne. and Nagy, Thomas J.",2019.0,Assessing the Contributions of the Social Sciences to Health,"The authors of this book provide a systematic, integrated review and comparison of the contributions of sociology, political science, economics, demography, anthropology, history of science and medicine, psychiatry, and psychology to a number of health-related fields, including epidemiology, health services research, and health policy studies. The book reflects the authors' attitude that multidisciplinary research efforts must be carried out in order to obtain a thorough understanding of the relationship of social science knowledge to health problems.",https://doi.org/10.4324/9780429047565,book
