Author,Year,Title,Abstract,Combined(Title+Abstract),Target
"Isabella
Agustian",2023,Implementing Digital Literacy Policies and the Challenges of Towards Smart City in Palembang City,"This research examines digital literacy's role in supporting smart city development in Palembang City by focusing on four key aspects, including digital skills, digital safety, digital ethics, and digital culture. This study uses a qualitative descriptive approach to use primary and secondary data. The analysis tool used is Nvivo 12 Plus. These findings successfully analyze the challenges faced in integrating digital literacy in smart city development, including digital literacy gaps, privacy concerns, lack of awareness of benefits, technical challenges, and cultural changes. In addition, the role of government and regulation and cross-sector collaboration are also explained as important factors in creating an environment that supports holistic digital literacy. The results of this study provide a comprehensive view of how digital literacy can play a key role in facing challenges and optimizing the benefits of smart technology in the development of inclusive and sustainable smart cities. This research contributes to stakeholders involved in planning and implementing smart cities, as well as providing directions for effective digital literacy efforts in the future.","Implementing Digital Literacy Policies and the Challenges of Towards Smart City in Palembang CityThis research examines digital literacy's role in supporting smart city development in Palembang City by focusing on four key aspects, including digital skills, digital safety, digital ethics, and digital culture. This study uses a qualitative descriptive approach to use primary and secondary data. The analysis tool used is Nvivo  Plus. These findings successfully analyze the challenges faced in integrating digital literacy in smart city development, including digital literacy gaps, privacy concerns, lack of awareness of benefits, technical challenges, and cultural changes. In addition, the role of government and regulation and cross-sector collaboration are also explained as important factors in creating an environment that supports holistic digital literacy. The results of this study provide a comprehensive view of how digital literacy can play a key role in facing challenges and optimizing the benefits of smart technology in the development of inclusive and sustainable smart cities. This research contributes to stakeholders involved in planning and implementing smart cities, as well as providing directions for effective digital literacy efforts in the future.",1
"Fazil
Fahmi
Riski
",2022,Digital Literacy in Building a Smart City at Banda Aceh,"The commitment to innovative city-based development must begin with the presence of digital communities that become users and take advantage of all the smarts presented in a smart city. Strengthening digitalization in society by utilizing all the technology offered by the government is interesting to study. Banda Aceh is one of the first cities in Aceh Province to implement the bright city concept successfully; the choice in this study is where the digital literacy strategy in urban communities is the focus. This study aims to describe and analyze digital literacy strategies and their obstacles in building a smart city in Banda Aceh City. This study also uses a descriptive qualitative approach with data collection techniques using observation, interviews, and documentation studies. The data analysis technique used in this study is an interactive model through three main things: data reduction, data presentation, and conclusion. The results of the study found that digital literacy in building a smart city in the Banda Aceh City government by; First, Providing Smart City Technical Guidance, developing intelligent city policies and institutions, conducting readiness analysis and setting targets, introducing smart cities through social media, Cooperating with the community and actively descending to the village, as well as cooperating with other work units, and Infrastructure Development. The obstacles include the government, budget, community, and public organizations. Furthermore, some people are less responsive and use digital literacy for people with disabilities.","Digital Literacy in Building a Smart City at Banda AcehThe commitment to innovative city-based development must begin with the presence of digital communities that become users and take advantage of all the smarts presented in a smart city. Strengthening digitalization in society by utilizing all the technology offered by the government is interesting to study. Banda Aceh is one of the first cities in Aceh Province to implement the bright city concept successfully; the choice in this study is where the digital literacy strategy in urban communities is the focus. This study aims to describe and analyze digital literacy strategies and their obstacles in building a smart city in Banda Aceh City. This study also uses a descriptive qualitative approach with data collection techniques using observation, interviews, and documentation studies. The data analysis technique used in this study is an interactive model through three main things: data reduction, data presentation, and conclusion. The results of the study found that digital literacy in building a smart city in the Banda Aceh City government by; First, Providing Smart City Technical Guidance, developing intelligent city policies and institutions, conducting readiness analysis and setting targets, introducing smart cities through social media, Cooperating with the community and actively descending to the village, as well as cooperating with other work units, and Infrastructure Development. The obstacles include the government, budget, community, and public organizations. Furthermore, some people are less responsive and use digital literacy for people with disabilities.",1
"Mariane
Sariningsih
Buanawaty
Azis
",2023,"Improving Digital Literacy Skills for Youth Karang Taruna, Cigadung Village, Cibeunying Kaler District, Bandung City","The commitment to innovative city-based development must begin with the presence of digital communities that become users and take advantage of all the smarts presented in a smart city. Strengthening digitalization in society by utilizing all the technology offered by the government is interesting to study. Banda Aceh is one of the first cities in Aceh Province to implement the bright city concept successfully; the choice in this study is where the digital literacy strategy in urban communities is the focus. This study aims to describe and analyze digital literacy strategies and their obstacles in building a smart city in Banda Aceh City. This study also uses a descriptive qualitative approach with data collection techniques using observation, interviews, and documentation studies. The data analysis technique used in this study is an interactive model through three main things: data reduction, data presentation, and conclusion. The results of the study found that digital literacy in building a smart city in the Banda Aceh City government by; First, Providing Smart City Technical Guidance, developing intelligent city policies and institutions, conducting readiness analysis and setting targets, introducing smart cities through social media, Cooperating with the community and actively descending to the village, as well as cooperating with other work units, and Infrastructure Development. The obstacles include the government, budget, community, and public organizations. Furthermore, some people are less responsive and use digital literacy for people with disabilities.
","Improving Digital Literacy Skills for Youth Karang Taruna, Cigadung Village, Cibeunying Kaler District, Bandung CityThe commitment to innovative city-based development must begin with the presence of digital communities that become users and take advantage of all the smarts presented in a smart city. Strengthening digitalization in society by utilizing all the technology offered by the government is interesting to study. Banda Aceh is one of the first cities in Aceh Province to implement the bright city concept successfully; the choice in this study is where the digital literacy strategy in urban communities is the focus. This study aims to describe and analyze digital literacy strategies and their obstacles in building a smart city in Banda Aceh City. This study also uses a descriptive qualitative approach with data collection techniques using observation, interviews, and documentation studies. The data analysis technique used in this study is an interactive model through three main things: data reduction, data presentation, and conclusion. The results of the study found that digital literacy in building a smart city in the Banda Aceh City government by; First, Providing Smart City Technical Guidance, developing intelligent city policies and institutions, conducting readiness analysis and setting targets, introducing smart cities through social media, Cooperating with the community and actively descending to the village, as well as cooperating with other work units, and Infrastructure Development. The obstacles include the government, budget, community, and public organizations. Furthermore, some people are less responsive and use digital literacy for people with disabilities.
",1
"Mariane
Sariningsih
Buanawaty
Azis
",2023,"Improving Digital Literacy Skills for Youth Karang Taruna, Cigadung Village, Cibeunying Kaler District, Bandung City","Based on the results of the situation analysis, there are several problems with Youth Karang Taruna, Cigadung Village, Cibeunying Kaler District, Bandung City, namely: Low knowledge and understanding of digital literacy and low Digital Literacy Ability to become Smart Vlogers in order to become a productive generation. The purpose of this community service activity is to increase knowledge, understanding and ability about the Importance of Digital Literacy through Creativity Development to become a Smart Vloger as well as strengthening community social institutions in preventing online violence and cyber crime in people's lives, creating independence and a productive generation. The methods used are socialization and counseling, training, mentoring, and technical guidance. As a result of PKM activities, it is hoped that the Youth Karang Taruna, Cigadung Village, Cibeunying Kaler District, Bandung City will know, understand digital literacy, and be able to use internet digital media literacy skills safely in updating writing on the platforms they created to become Smart Vlogers to strengthen institutions. society in preventing online violence and cyber crime in people's lives, creating independence and a productive generation.","Improving Digital Literacy Skills for Youth Karang Taruna, Cigadung Village, Cibeunying Kaler District, Bandung CityBased on the results of the situation analysis, there are several problems with Youth Karang Taruna, Cigadung Village, Cibeunying Kaler District, Bandung City, namely: Low knowledge and understanding of digital literacy and low Digital Literacy Ability to become Smart Vlogers in order to become a productive generation. The purpose of this community service activity is to increase knowledge, understanding and ability about the Importance of Digital Literacy through Creativity Development to become a Smart Vloger as well as strengthening community social institutions in preventing online violence and cyber crime in people's lives, creating independence and a productive generation. The methods used are socialization and counseling, training, mentoring, and technical guidance. As a result of PKM activities, it is hoped that the Youth Karang Taruna, Cigadung Village, Cibeunying Kaler District, Bandung City will know, understand digital literacy, and be able to use internet digital media literacy skills safely in updating writing on the platforms they created to become Smart Vlogers to strengthen institutions. society in preventing online violence and cyber crime in people's lives, creating independence and a productive generation.",1
"Sukmawati
Sari
",2022,Smart City Masterplan Policy Innovation In Public Service Development In The City Of Padang Panjang,"Smart City is a city management that utilizes various resources effectively and efficiently to solve various city problems using innovative, integrated and sustainable solutions to provide infrastructure and provide city services that can improve the quality of life of its citizens. The digital transformation process carried out in the City of Padang Panjang and all efforts to increase digitization and increase digital literacy. Based on the relatively fast population, it can cause various problems typical of urban areas, such as a decrease in the quality of public services, reduced availability of residential land, congestion on the highway, difficulty in getting a parking space, accumulation of garbage, and other social problems. In this study the approach used is a qualitative approach, used to examine the condition of natural objects, where the researcher is the key instrument, the data collection technique is done by triangulation (combined). After doing the research, it can be seen that the purpose of the smart city program in the city of Padang Panjang is where the community can participate in helping the management of existing resources and participate in providing the right information to the local community. The goal is to provide innovative solutions in handling and solving major problems, providing convenience, security and comfort for the community, improving the quality of life of the people of Padang Panjang City to a better level.","Smart City Masterplan Policy Innovation In Public Service Development In The City Of Padang PanjangSmart City is a city management that utilizes various resources effectively and efficiently to solve various city problems using innovative, integrated and sustainable solutions to provide infrastructure and provide city services that can improve the quality of life of its citizens. The digital transformation process carried out in the City of Padang Panjang and all efforts to increase digitization and increase digital literacy. Based on the relatively fast population, it can cause various problems typical of urban areas, such as a decrease in the quality of public services, reduced availability of residential land, congestion on the highway, difficulty in getting a parking space, accumulation of garbage, and other social problems. In this study the approach used is a qualitative approach, used to examine the condition of natural objects, where the researcher is the key instrument, the data collection technique is done by triangulation (combined). After doing the research, it can be seen that the purpose of the smart city program in the city of Padang Panjang is where the community can participate in helping the management of existing resources and participate in providing the right information to the local community. The goal is to provide innovative solutions in handling and solving major problems, providing convenience, security and comfort for the community, improving the quality of life of the people of Padang Panjang City to a better level.",1
"Bolesnikov
Silić
Silic
Dumnic
Ćulibrk
Petrović
Gajić
",2024,Innovative Transitions: Exploring Demand for Smart City Development in Novi Sad as a European Capital of Culture,"This study investigates the factors influencing the acceptance and implementation of smart city solutions, with a particular focus on smart mobility and digital services in Novi Sad, one of the leading urban centers in Serbia. Employing a quantitative methodology, the research encompasses citizens’ perceptions of the benefits of smart technologies, their level of awareness regarding smart solutions, the degree of engagement in using digital services, and their interest in smart mobility. The results indicate that these factors are crucial for the successful integration of smart technologies. Notably, awareness of smart city initiatives and the perceived benefits, such as improved mobility, reduced traffic congestion, increased energy efficiency, and enhanced quality of life, are highlighted as key prerequisites for the adoption of these solutions. Novi Sad, as the European Capital of Culture in 2022, presents a unique opportunity for the implementation of these technologies. Our findings point to the need for strategic campaigns aimed at educating and raising public awareness. The practical implications of this study could contribute to shaping policies that encourage the development of smart cities, not only in Novi Sad but also in other urban areas across Serbia and the region. This study confirms the importance of citizen engagement and technological literacy in the transformation of urban environments through smart solutions, underscoring the potential of these technologies to improve everyday life and achieve sustainable urban development.","Innovative Transitions: Exploring Demand for Smart City Development in Novi Sad as a European Capital of CultureThis study investigates the factors influencing the acceptance and implementation of smart city solutions, with a particular focus on smart mobility and digital services in Novi Sad, one of the leading urban centers in Serbia. Employing a quantitative methodology, the research encompasses citizens’ perceptions of the benefits of smart technologies, their level of awareness regarding smart solutions, the degree of engagement in using digital services, and their interest in smart mobility. The results indicate that these factors are crucial for the successful integration of smart technologies. Notably, awareness of smart city initiatives and the perceived benefits, such as improved mobility, reduced traffic congestion, increased energy efficiency, and enhanced quality of life, are highlighted as key prerequisites for the adoption of these solutions. Novi Sad, as the European Capital of Culture in , presents a unique opportunity for the implementation of these technologies. Our findings point to the need for strategic campaigns aimed at educating and raising public awareness. The practical implications of this study could contribute to shaping policies that encourage the development of smart cities, not only in Novi Sad but also in other urban areas across Serbia and the region. This study confirms the importance of citizen engagement and technological literacy in the transformation of urban environments through smart solutions, underscoring the potential of these technologies to improve everyday life and achieve sustainable urban development.",1
"Chan
",2017,"Conduct, Connect, Continue: Foster students' digital literacy at a school library for a smart city","The school library of Lam Tin Methodist Primary School has a drastic change of its library programs for students, teachers and parents on digital literacy after joining the gamification research of the University of Hong Kong and the seed project of the Education Bureau on eLearning in 2013 and 2017 respectively. The on-going changes of the school library programs and services not only fit for the educational needs of the digital generation but also echo the development of Hong Kong as a smart city. Starting from the proposal of transformation Kowloon East into a Smart City District in the 2015 Policy Address and consolidating with “The Smart City Blueprint for Hong Kong” in 2017, Hong Kong is ready to be a smart society. This paper will report the capacity of the Teacher-Librarian on coordinating the valuable resources within and outside the school on subsequently facilitating “equal and free access to information and knowledge” (IFLA Global Vision 2018 highlights) of different school stakeholders in addition to improving students’ engagement in learning. It focuses specifically on the digital tool adoption and online resources which have profoundly transformed students’ Reading to Learn performance, teachers’ professional development and parent education in a short period of time. To name a few, students were introduced to the Google-connected world, eBook creation with online tools, Makerspace as well as STEM collections with OR code on each book to access related video. Teachers were especially alert to the critical issues of cyber safety and cyber ethics. Parents were guided to see the new world of the 4th Industrial Revolution and the Reading to Learn needs of their children through school library newsletters, circulars, and parent education seminar series. Other than surveys, interviews, and observations were used to find out what the small digital natives’ value and how they could engage in their Reading to Learn. The desirable results reinforce the collaborative efforts of the Teacher-Librarian, teachers, and parents. The synergy among different school stakeholders is crucial for fostering students’ digital literacy. Other than the Information and Communication Technology facilities and devices provided in the school, continued efforts on parent education upon the changing needs of their children on digital literacy, such as using new devices and gadgets to access various resources at home, are necessary for success. The positive impact of the school library’s digital transformation was widely disseminated to the public, educators and practitioners of the field through the Teaching and Learning Expo, Knowledge Exchange Seminar, Master of Science in Library and Information Management courses of the University of Hong Kong, Seed Project Sharing of the Education Bureau as well as posted on the Curriculum Development website of the Education Bureau in Hong Kong. It is believed that there is a growing role of libraries, including school libraries, in digital transformation. Teacher-Librarians are undoubtedly the (pro)motors of change at the digital age.","Conduct, Connect, Continue: Foster students' digital literacy at a school library for a smart cityThe school library of Lam Tin Methodist Primary School has a drastic change of its library programs for students, teachers and parents on digital literacy after joining the gamification research of the University of Hong Kong and the seed project of the Education Bureau on eLearning in  and  respectively. The on-going changes of the school library programs and services not only fit for the educational needs of the digital generation but also echo the development of Hong Kong as a smart city. Starting from the proposal of transformation Kowloon East into a Smart City District in the  Policy Address and consolidating with “The Smart City Blueprint for Hong Kong” in , Hong Kong is ready to be a smart society. This paper will report the capacity of the Teacher-Librarian on coordinating the valuable resources within and outside the school on subsequently facilitating “equal and free access to information and knowledge” (IFLA Global Vision  highlights) of different school stakeholders in addition to improving students’ engagement in learning. It focuses specifically on the digital tool adoption and online resources which have profoundly transformed students’ Reading to Learn performance, teachers’ professional development and parent education in a short period of time. To name a few, students were introduced to the Google-connected world, eBook creation with online tools, Makerspace as well as STEM collections with OR code on each book to access related video. Teachers were especially alert to the critical issues of cyber safety and cyber ethics. Parents were guided to see the new world of the th Industrial Revolution and the Reading to Learn needs of their children through school library newsletters, circulars, and parent education seminar series. Other than surveys, interviews, and observations were used to find out what the small digital natives’ value and how they could engage in their Reading to Learn. The desirable results reinforce the collaborative efforts of the Teacher-Librarian, teachers, and parents. The synergy among different school stakeholders is crucial for fostering students’ digital literacy. Other than the Information and Communication Technology facilities and devices provided in the school, continued efforts on parent education upon the changing needs of their children on digital literacy, such as using new devices and gadgets to access various resources at home, are necessary for success. The positive impact of the school library’s digital transformation was widely disseminated to the public, educators and practitioners of the field through the Teaching and Learning Expo, Knowledge Exchange Seminar, Master of Science in Library and Information Management courses of the University of Hong Kong, Seed Project Sharing of the Education Bureau as well as posted on the Curriculum Development website of the Education Bureau in Hong Kong. It is believed that there is a growing role of libraries, including school libraries, in digital transformation. Teacher-Librarians are undoubtedly the (pro)motors of change at the digital age.",1
"Awasthi
Sukula
",2022,Digital Literacy Niche in Academia,"With the awareness and proliferation of technology, the smart approach is possible to build a learning system or a smart city. The study aims to present the involvement of digital literacy in academics, making youth smart citizens, and assessing the continuous efforts at different levels. The study highlighted the mechanisms adopted by the libraries, such as training and other programmes, to enhance the digital literacy of the citizens. The chapter spotlighted the inclusion of digital literacy in academics, and with the adoption of digital solutions, young learners can become smart citizens. It also throws light on the impact of digital literacy during COVID-19 and digital literacy activities at JNU Central Library. A glimpse of the practices and measures adopted by the academic libraries to enrich the youth to make them smart citizens is provided, and a case example of an academic library (i.e., Jawaharlal Nehru University [JNU] Central Library) is considered for the study. Digital literacy has become an integral part of the youths' lives, and it supplements in making youth smart citizens would lead to smart city development.","Digital Literacy Niche in AcademiaWith the awareness and proliferation of technology, the smart approach is possible to build a learning system or a smart city. The study aims to present the involvement of digital literacy in academics, making youth smart citizens, and assessing the continuous efforts at different levels. The study highlighted the mechanisms adopted by the libraries, such as training and other programmes, to enhance the digital literacy of the citizens. The chapter spotlighted the inclusion of digital literacy in academics, and with the adoption of digital solutions, young learners can become smart citizens. It also throws light on the impact of digital literacy during COVID- and digital literacy activities at JNU Central Library. A glimpse of the practices and measures adopted by the academic libraries to enrich the youth to make them smart citizens is provided, and a case example of an academic library (i.e., Jawaharlal Nehru University [JNU] Central Library) is considered for the study. Digital literacy has become an integral part of the youths' lives, and it supplements in making youth smart citizens would lead to smart city development.",1
"Goodyear
",2022,"Smart City Technology and Civic Engagement in Ontario, Canada","As smart technologies become more integrated with daily life, vital digital literacy skills are necessary for citizens to engage with and benefit from their cities, local government, and economy. Libraries play an important role in mitigating the growing wealth gap in our communities, especially as it relates to opportunities provided by emerging technologies. With the call for smart city proposals in Toronto, Ontario, what role will the city's LAMs have in collaborating with these future developments? The Toronto Public Library (TPL), a trusted public institution, has a stake in implementing various frameworks and collaborating with government agencies in addressing public concerns around technologies that collect personal information for various purposes and ensuring that vulnerable populations are not left behind. Following an examination of the role libraries play in mitigating consequences of the digital divide, this chapter will discuss the various ways in which TPL and similar community libraries have been involved with digital literacy and inclusion. It will also explore how TPL has been identified by government agencies as a vehicle for civic engagement and oversight in the former Sidewalk Toronto smart city plan.","Smart City Technology and Civic Engagement in Ontario, CanadaAs smart technologies become more integrated with daily life, vital digital literacy skills are necessary for citizens to engage with and benefit from their cities, local government, and economy. Libraries play an important role in mitigating the growing wealth gap in our communities, especially as it relates to opportunities provided by emerging technologies. With the call for smart city proposals in Toronto, Ontario, what role will the city's LAMs have in collaborating with these future developments? The Toronto Public Library (TPL), a trusted public institution, has a stake in implementing various frameworks and collaborating with government agencies in addressing public concerns around technologies that collect personal information for various purposes and ensuring that vulnerable populations are not left behind. Following an examination of the role libraries play in mitigating consequences of the digital divide, this chapter will discuss the various ways in which TPL and similar community libraries have been involved with digital literacy and inclusion. It will also explore how TPL has been identified by government agencies as a vehicle for civic engagement and oversight in the former Sidewalk Toronto smart city plan.",1
"Ylipulli
Hämäläinen
",2023,Towards Practice-oriented Framework for Digital Inequality in Smart Cities,"Digital equality, entailing access to the Internet and digital devices as well as a set of diverse digital skills, has been recognized as a crucial factor in the creation of just and sustainable smart cities. However, there remains gaps between smart city research and studies focusing on socio-digital inequalities and digital literacy. The aim of this article is two-fold: first, it explores the focal intersections of smart city development, socio-digital inequalities and digital literacy based on literature. Secondly, through an interdisciplinary exploration it aims to demonstrate that there is a need to align the current understanding of digital inequality with the conceptualizations of ‘smart citizenship’ which underline competencies related to critical thinking and resistance. For this purpose, we formulate a tentative, practice-oriented framework for understanding digital inequality in the context of smart cities. The framework is based on previous prominent definitions of digital inequality and digital literacy, but it intends to open new horizons for solutions and services that would increase peoples’ awareness on societal dimensions of digital technologies, and eventually, their digital agency. For the most part, the paper is theoretical, but it also draws examples from the research fieldwork conducted in Barcelona, Spain. Barcelona has been highlighted as one of the rare examples of a city that intends to center people in its smart city policies: We explore how Barcelona approaches the people-centric smart city in practice and introduce Canòdrom, a center for city inhabitants promoting open technologies, participatory democracy, and digital culture.","Towards Practice-oriented Framework for Digital Inequality in Smart CitiesDigital equality, entailing access to the Internet and digital devices as well as a set of diverse digital skills, has been recognized as a crucial factor in the creation of just and sustainable smart cities. However, there remains gaps between smart city research and studies focusing on socio-digital inequalities and digital literacy. The aim of this article is two-fold: first, it explores the focal intersections of smart city development, socio-digital inequalities and digital literacy based on literature. Secondly, through an interdisciplinary exploration it aims to demonstrate that there is a need to align the current understanding of digital inequality with the conceptualizations of ‘smart citizenship’ which underline competencies related to critical thinking and resistance. For this purpose, we formulate a tentative, practice-oriented framework for understanding digital inequality in the context of smart cities. The framework is based on previous prominent definitions of digital inequality and digital literacy, but it intends to open new horizons for solutions and services that would increase peoples’ awareness on societal dimensions of digital technologies, and eventually, their digital agency. For the most part, the paper is theoretical, but it also draws examples from the research fieldwork conducted in Barcelona, Spain. Barcelona has been highlighted as one of the rare examples of a city that intends to center people in its smart city policies: We explore how Barcelona approaches the people-centric smart city in practice and introduce Canòdrom, a center for city inhabitants promoting open technologies, participatory democracy, and digital culture.",1
